#u	0.0433
凛	0.29
凝	-0.56
几	-0.11
凡	-0.53
凤	0.24
凫	-2.90
凭	-0.10
凯	-1.24
凰	-0.19
凳	-3.39
凶	-0.48
凸	-0.63
凹	-0.17
出	0.12
击	-0.64
函	-0.00
凿	0.99
刀	0.17
刁	0.11
刃	-1.06
分	-0.24
切	-0.46
刈	-1.57
刊	0.04
刍	-0.54
刎	-1.57
刑	0.09
划	-0.34
列	-0.16
刘	-0.34
则	-0.49
刚	-1.48
创	1.08
刜	1.65
初	-0.35
删	-0.72
刣	4.01
判	-0.08
刨	-3.09
利	-0.08
别	-0.76
刮	-1.76
到	-0.34
制	-0.21
刷	-1.54
券	-0.25
刹	-1.99
刺	0.39
刻	-0.48
刽	-0.27
剁	0.04
剂	-0.54
剃	0.63
剉	1.14
削	0.42
剌	-0.80
前	-0.35
剐	-1.57
剑	0.33
剔	0.16
剖	0.04
剥	0.24
剧	-0.50
剩	-0.49
剪	0.51
副	-0.01
割	0.77
剸	2.24
剺	1.65
剽	-0.47
剾	3.60
剿	0.24
劈	-3.76
力	-0.23
劝	-0.14
办	-0.13
功	-0.10
加	0.34
务	-0.27
劣	-2.35
动	-0.29
助	-0.76
努	-1.26
劫	0.24
励	-0.49
劲	-1.78
劳	-0.63
劾	-0.16
势	0.83
勃	-0.91
勇	0.53
勉	-0.48
勋	0.04
勍	1.65
勒	-0.68
勘	0.84
募	-0.96
勤	-0.51
勥	2.24
勺	-1.24
勼	3.62
勾	-1.53
勿	0.77
匀	1.20
包	-0.23
匆	-3.03
匈	-0.32
匊	2.44
匍	-1.06
匏	1.14
匐	-2.15
匕	-0.12
化	-0.28
北	0.10
匙	1.01
匝	-2.52
匠	-1.88
匡	0.24
匣	-0.12
匪	-0.21
匮	-2.52
匹	-0.48
区	0.01
医	-0.07
匼	0.89
匾	0.04
匿	-1.52
十	-0.01
千	-0.36
卅	0.38
升	-0.27
午	-1.13
卉	-0.12
半	0.46
卌	2.24
华	-0.21
协	-0.39
卑	0.04
卒	0.75
卓	-0.15
单	-0.11
卖	-0.27
南	-0.04
博	0.34
卜	-1.33
占	-0.25
卡	-0.61
卢	0.04
卤	0.92
卦	0.46
卧	-2.09
卫	-0.12
卯	0.79
印	-0.16
危	-0.57
卲	0.04
即	-0.27
却	-0.09
卵	1.50
卷	-0.66
卸	0.82
卺	0.55
卿	-1.06
厂	-0.28
厄	0.58
厅	0.26
历	-0.31
厉	-0.86
压	-0.50
厌	-0.76
厕	-1.24
厘	1.55
厚	0.78
厝	3.11
原	0.05
厢	-0.68
厥	-3.51
厦	-0.29
厨	-0.61
厩	-2.52
厮	-2.35
去	0.76
县	0.04
参	0.47
又	-1.38
叉	0.06
及	-1.03
友	-0.05
双	0.33
反	0.08
发	-0.77
叔	0.14
取	-0.51
受	-0.41
变	0.49
叙	-0.10
叛	-0.22
叟	-2.15
叠	0.85
口	-0.85
古	0.65
句	0.81
另	0.95
叨	-0.67
叩	-0.38
只	-0.03
叫	0.21
召	0.08
叭	-0.35
叮	0.44
可	-0.92
台	-0.51
叱	-3.25
史	0.08
右	-1.31
叶	-0.05
号	0.03
司	0.24
叹	-0.48
叼	-1.29
叽	-0.84
吁	-0.99
吃	-3.15
各	-0.20
吆	-2.35
合	-0.14
吉	-0.51
吊	0.40
吋	0.04
同	-0.55
名	-0.14
后	0.12
吏	-1.06
吐	0.31
向	0.14
吓	-0.49
吕	0.24
吗	-2.84
君	0.15
吝	-2.20
吞	-0.35
吟	-0.88
吠	0.24
否	-0.72
吧	-0.76
吨	0.04
吩	0.79
含	0.36
听	-0.05
吭	-1.32
吮	-0.15
启	-0.66
吱	0.82
吴	-0.32
吵	-0.23
吸	-0.78
吹	-0.62
吻	-1.54
吼	1.59
吾	-1.69
呀	-1.51
呃	1.54
呆	-0.82
呈	0.32
告	-0.62
呎	-0.47
呐	-1.19
呓	-0.16
呔	1.89
呕	-0.58
呗	0.04
员	-0.08
呛	-0.35
呢	2.25
周	-0.76
呯	2.24
呱	-0.41
呲	2.24
味	-0.30
呴	1.99
呵	-0.35
呶	-2.79
呷	0.55
呸	1.99
呻	0.55
呼	-0.96
命	0.19
呾	1.65
咀	-2.52
咁	2.75
咄	-2.79
咆	-1.57
咇	2.99
咈	1.65
咋	-1.42
和	-0.23
咍	1.65
咎	-1.69
咏	0.04
咐	0.23
咒	0.34
咕	-1.90
咖	0.15
咙	1.14
咚	-2.15
咛	0.55
咠	1.34
咤	-0.72
咧	2.10
咨	-0.75
咩	0.04
咪	-0.16
咬	0.67
咯	0.71
咱	0.70
咳	-0.35
咸	0.92
咻	1.28
咽	-1.57
咾	2.24
咿	1.65
哀	0.21
品	-0.36
哄	-0.14
哆	-0.47
哇	-0.32
哈	-0.64
哉	0.84
响	-0.71
哎	-1.06
哏	-2.35
哑	-0.66
哒	0.38
哔	2.61
哕	-1.57
哖	1.14
哗	1.27
哝	-2.15
哞	2.88
哟	0.04
哢	0.04
哥	0.50
哦	-0.80
哧	3.26
哨	-0.45
哩	1.07
哪	-1.06
哭	0.18
哮	0.36
哱	1.48
哲	0.04
哳	1.65
哺	0.91
哼	1.92
哽	-0.69
唁	0.89
唅	3.09
唆	0.26
唇	-0.22
唉	0.35
唌	3.09
唏	0.68
唐	-0.58
唔	0.89
唚	3.09
唠	-1.98
唢	-2.35
唤	-1.45
唧	-3.25
唪	1.65
唬	-0.62
售	-0.49
唯	-0.15
唱	-0.03
唳	0.04
唶	0.04
唾	-3.51
啀	1.65
啁	3.65
啃	-2.79
啄	1.07
商	-0.45
啉	3.48
啊	-0.05
啕	-2.35
啖	1.39
啜	-0.70
啡	0.37
啣	1.34
啤	-0.96
啥	3.04
啦	0.12
啧	-0.29
啪	0.29
啬	-2.00
啮	0.04
啯	0.35
啰	1.09
啷	0.63
啸	-2.71
啻	-1.90
啼	0.46
啾	-0.21
喀	0.55
喁	1.65
喂	-0.17
喃	-1.38
善	-0.78
喇	-0.03
喈	2.24
喉	0.58
喊	-0.08
喋	-0.55
喑	1.65
喔	0.50
喘	-0.13
喙	6.46
喜	-0.38
喝	0.40
喢	3.65
喦	1.65
喧	-1.77
喨	1.34
喱	0.04
喳	-1.06
喵	-1.57
喷	0.04
喻	-0.67
喽	1.51
喾	0.04
嗄	1.48
嗅	-0.21
嗉	-2.35
嗍	1.78
嗑	-1.90
嗒	-0.60
嗓	-4.33
嗔	-1.80
嗖	0.04
嗙	0.55
嗜	-3.25
嗝	-3.25
嗟	-2.15
嗡	-3.00
嗣	0.28
嗤	1.80
嗦	0.59
嗨	-0.47
嗫	-0.47
嗯	0.04
嗲	-0.12
嗳	-0.29
嗷	3.26
嗹	3.18
嗽	1.42
嗾	-2.35
嘀	-0.07
嘈	1.89
嘉	0.33
嘌	2.61
嘎	0.37
嘐	2.99
嘘	-1.67
嘛	1.44
嘟	-1.15
嘤	-0.32
嘱	-0.62
嘲	-1.17
嘴	0.76
嘶	-0.32
嘹	1.04
嘻	0.14
噌	-0.16
噍	0.55
噎	0.04
噗	1.50
噘	-2.15
噜	-3.25
噞	2.24
噤	-2.66
器	-0.71
噩	-3.09
噪	-0.08
噬	0.04
噭	3.26
噱	-1.80
噶	-0.54
噷	2.88
嚎	0.69
嚏	-2.66
嚓	0.55
嚗	2.88
嚣	-1.11
嚷	0.10
嚼	-1.23
嚾	2.75
囊	-0.58
囓	1.65
囚	-0.34
四	0.79
囝	5.02
回	-0.57
囟	0.47
因	0.17
囡	5.29
团	-0.75
囤	0.23
囥	3.18
囫	-1.26
园	0.25
囮	0.89
困	1.75
囱	-0.91
围	0.08
囵	1.23
囷	3.76
固	-1.23
国	0.14
图	-0.09
圃	-0.60
圆	-0.11
圈	-1.33
圜	-1.90
土	0.41
圣	0.39
在	0.16
圩	0.55
圪	-1.57
圭	0.50
圯	0.04
地	-0.18
圳	0.79
圹	1.76
场	-0.43
圾	0.98
址	0.04
均	-1.06
坉	1.99
坊	-0.86
坍	-1.18
坎	1.28
坏	-2.13
坐	0.54
坑	0.10
块	-0.20
坚	-0.33
坛	-0.09
坜	0.04
坝	0.24
坞	-0.78
坟	-1.96
坠	0.73
坡	-0.80
坤	0.04
坦	1.08
坩	1.69
坪	0.91
坯	0.42
坱	2.44
坵	1.99
坷	-0.59
垂	-0.52
垃	1.02
垄	0.52
垅	0.04
型	-0.17
垌	1.65
垒	0.19
垛	-0.12
垢	-0.63
垦	-0.39
垫	-0.90
垮	-3.09
垵	0.83
垺	2.44
埃	0.34
埋	-0.47
城	-0.04
埒	1.14
埔	1.32
埕	2.20
埙	0.04
埚	0.04
域	0.17
埠	0.61
埤	0.63
培	-0.15
基	0.01
埽	3.18
堀	0.04
堂	-0.53
堃	0.04
堆	0.04
堇	-2.52
堑	1.00
堕	-1.48
堞	0.55
堡	-0.15
堤	-0.98
堪	-0.39
堵	0.12
塌	0.64
塑	0.20
塔	-0.45
塘	-1.02
塞	-0.21
塥	1.65
填	-0.42
塭	1.27
塽	0.04
塾	0.55
境	-0.38
墅	-0.29
墓	0.21
墘	2.29
墙	-0.45
增	-0.17
墟	1.78
墡	1.34
墨	0.25
墩	-0.53
墼	-0.47
壁	0.78
壅	0.04
壑	-2.15
壕	-0.72
壤	-1.90
士	-0.15
壬	0.04
壮	-0.62
声	0.40
壳	1.09
壶	-0.41
壹	0.55
处	-1.10
夆	0.04
备	-0.29
复	-0.35
夏	-0.49
夕	-1.98
外	0.05
夙	-1.39
多	-1.88
夜	-1.52
够	0.54
大	-0.03
天	-0.14
太	-0.77
夫	-0.85
夭	0.63
央	0.38
夯	2.75
失	-0.12
头	0.67
夷	-1.13
夸	-1.20
夹	-0.40
夺	-0.80
奁	-1.06
奂	0.04
奄	-0.75
奅	3.34
奇	0.09
奈	-0.63
奉	-0.60
奋	-0.24
奎	-1.06
奏	-0.03
契	0.33
奓	1.65
奔	-1.32
奕	1.73
奖	-0.17
套	-0.04
奚	-0.21
奠	-1.26
奢	-0.73
奥	-0.02
奭	0.04
女	-0.72
奴	0.19
奶	0.81
奸	0.24
她	-1.57
好	0.15
如	-1.21
妃	0.24
妄	-1.02
妆	0.45
妇	-0.40
妈	-0.18
妊	-2.66
妍	0.38
妒	0.29
妓	-1.96
妖	0.12
妗	2.10
妙	-0.92
妞	-0.96
妣	-0.47
妥	0.04
妨	-0.45
妩	-2.35
妮	-0.58
妯	-1.57
妲	0.38
妳	-1.69
妹	-0.32
妻	-0.61
妾	-0.47
姆	0.94
姊	0.51
始	-0.99
姐	0.37
姑	0.05
姒	1.14
姓	-0.03
委	-0.35
姘	-3.32
姚	0.04
姜	0.04
姥	-0.80
姨	0.60
姪	-0.41
姬	-2.15
姻	-0.08
